Datalog report
Fri Feb 14 08:59:54 2025

                      Lot:  8IQY47003.05-TT-I
                   Tester:  smartscale00.anoralabs.com
                  Program:  IBM_NP_Master_Rev004_HT.ttf
                      Rev:  
                   Device:  B6811850
          Device Revision:  
                    Sites:  1
             Package Type:  B6811850
                 Operator:  Joe
                Test Code:  FT
         Test Temperature:  25C
        Handler or Prober:  handtest (Offline)
         Smartest Version:  7.10.6.0
    Smartest Release Date:  Thu, 04 Aug 2022 08:14:36 +0200
           Executive Name:  TCCT
        Executive Version:  1.9.8
   Executive Release Date:  20200617


Site1 PartID: "P8299856"
Number     Test Name                                                             Low           Measured               High       Site(P/F)
721101     vdd_core                                                            0.080V     <      0.0997V     <       0.120V      Site:1
117070     cont_row_odd_col_odd_drive_pad_i_1                                 -0.900V     <     -0.7550V     <      -0.500V      Site:1
117071     cont_row_odd_col_odd_dft_pmbist_ret_pause_continue_pad_i           -0.900V     <     -0.7546V     <      -0.500V      Site:1
223001     idd_static_vdd_core                                               -15.000mA    <   1377.5612mA    <   35000.000mA     Site:1
223002     idd_static_vcs_pll                                                 -1.000mA    <      0.0109mA    <       1.000mA     Site:1
223003     idd_static_vcs_pm_1                                                -1.000mA    <      0.0235mA    <       1.000mA     Site:1
223004     idd_static_vcs_pm_2                                                -1.000mA    <      0.0235mA    <       1.000mA     Site:1
223005     idd_static_vdd_io_clk                                              -1.000mA    <      0.0299mA    <       1.000mA     Site:1
223006     idd_static_vdd_pll                                                 -1.000mA    <      0.0300mA    <       1.000mA     Site:1
223007     idd_static_vcsio_pll                                               -1.000mA    <      0.4948mA    <       5.000mA     Site:1
223008     idd_static_vcsio_ts                                                -1.000mA    <      0.0007mA    <       1.000mA     Site:1
223009     idd_static_vcsio_vs_1                                              -1.000mA    <     -0.0015mA    <       1.000mA     Site:1
223010     idd_static_vcsio_vs_2                                              -1.000mA    <      0.0022mA    <       1.000mA     Site:1
223011     idd_static_vddio_io_clk                                            -1.000mA    <      0.0915mA    <       1.000mA     Site:1
223012     idd_static_vddio_pll                                               -1.000mA    <      0.0863mA    <       5.000mA     Site:1
223013     idd_static_vddio_rx                                                -1.000mA    <      5.2210mA    <      40.000mA     Site:1
223014     idd_static_vddio_tx                                                -1.000mA    <     11.2092mA    <      60.000mA     Site:1
225001     idd_dynamic_vdd_core                                              -15.000mA    <  14964.6025mA    <   50000.000mA     Site:1
225002     idd_dynamic_vcs_pll                                                -1.000mA    <      0.5299mA    <      20.000mA     Site:1
225003     idd_dynamic_vcs_pm_1                                               -1.000mA    <      0.0387mA    <      20.000mA     Site:1
225004     idd_dynamic_vcs_pm_2                                               -1.000mA    <      0.0384mA    <      20.000mA     Site:1
225005     idd_dynamic_vdd_io_clk                                             -1.000mA    <      0.0418mA    <      20.000mA     Site:1
225006     idd_dynamic_vdd_pll                                                -1.000mA    <      0.0332mA    <      20.000mA     Site:1
225007     idd_dynamic_vcsio_pll                                              -1.000mA    <      1.7159mA    <     100.000mA     Site:1
225008     idd_dynamic_vcsio_ts                                               -1.000mA    <      0.0007mA    <     100.000mA     Site:1
225009     idd_dynamic_vcsio_vs_1                                             -1.000mA    <      0.0024mA    <     500.000mA     Site:1
225010     idd_dynamic_vcsio_vs_2                                             -1.000mA    <      0.0061mA    <     500.000mA     Site:1
225011     idd_dynamic_vddio_io_clk                                           -1.000mA    <      0.1311mA    <     100.000mA     Site:1
225012     idd_dynamic_vddio_pll                                              -1.000mA    <      0.1100mA    <     100.000mA     Site:1
225013     idd_dynamic_vddio_rx                                               -1.000mA    <      6.8828mA    <     700.000mA     Site:1
225014     idd_dynamic_vddio_tx                                               -1.000mA    <     16.0621mA    <     700.000mA     Site:1
310001     leak_hi_r_eve_c_eve_io_req_pad_size_0                            -100.000uA    <     -0.0210uA    <     200.000uA     Site:1
310002     leak_hi_r_eve_c_eve_io_req_pad_data_30                           -100.000uA    <     -0.0220uA    <     200.000uA     Site:1
310003     leak_hi_r_eve_c_eve_io_req_pad_data_13                           -100.000uA    <     -0.0030uA    <     200.000uA     Site:1
310004     leak_hi_r_eve_c_eve_io_req_pad_addr_5                            -100.000uA    <      0.0130uA    <     200.000uA     Site:1
310005     leak_hi_r_eve_c_eve_io_req_pad_size_1                            -100.000uA    <     -0.0320uA    <     200.000uA     Site:1
310006     leak_hi_r_eve_c_eve_io_req_pad_addr_9                            -100.000uA    <     -0.0140uA    <     200.000uA     Site:1
310007     leak_hi_r_eve_c_eve_io_req_pad_data_8                            -100.000uA    <     -0.0030uA    <     200.000uA     Site:1
310008     leak_hi_r_eve_c_eve_io_req_pad_data_4                            -100.000uA    <     -0.0040uA    <     200.000uA     Site:1
310009     leak_hi_r_eve_c_eve_io_req_pad_data_18                           -100.000uA    <     -0.0260uA    <     200.000uA     Site:1
310010     leak_hi_r_eve_c_eve_io_req_pad_addr_8                            -100.000uA    <     -0.0120uA    <     200.000uA     Site:1
310011     leak_hi_r_eve_c_eve_io_req_pad_addr_4                            -100.000uA    <      0.0190uA    <     200.000uA     Site:1
310012     leak_hi_r_eve_c_eve_io_req_pad_data_1                            -100.000uA    <      0.0120uA    <     200.000uA     Site:1
310013     leak_hi_r_eve_c_eve_tap_tck_pad_i                                -100.000uA    <     -0.0130uA    <     200.000uA     Site:1
310014     leak_hi_r_eve_c_eve_tap_tdi_pad_i                                -100.000uA    <      0.0440uA    <     200.000uA     Site:1
310015     leak_hi_r_eve_c_eve_io_req_pad_addr_2                            -100.000uA    <     -0.0080uA    <     200.000uA     Site:1
310016     leak_hi_r_eve_c_eve_io_req_pad_addr_15                           -100.000uA    <      0.0110uA    <     200.000uA     Site:1
310017     leak_hi_r_eve_c_eve_io_req_pad_data_20                           -100.000uA    <     -0.0190uA    <     200.000uA     Site:1
310018     leak_hi_r_eve_c_eve_tap_rstn_pad_i                               -100.000uA    <     -0.0180uA    <     200.000uA     Site:1
310019     leak_hi_r_eve_c_eve_io_req_pad_addr_24                           -100.000uA    <      0.0320uA    <     200.000uA     Site:1
310020     leak_hi_r_eve_c_eve_dft_1500_shiftwr_pad_i                       -100.000uA    <      0.0100uA    <     200.000uA     Site:1
310021     leak_hi_r_eve_c_eve_dft_1500_wrstn_pad_i                         -100.000uA    <     -0.0130uA    <     200.000uA     Site:1
310022     leak_hi_r_eve_c_eve_io_req_pad_addr_12                           -100.000uA    <     -0.0060uA    <     200.000uA     Site:1
310023     leak_hi_r_eve_c_eve_dft_scan_scan_in_pad_i_12                    -100.000uA    <     -0.0190uA    <     200.000uA     Site:1
310024     leak_hi_r_eve_c_eve_dft_scan_scan_in_pad_i_1                     -100.000uA    <      0.0300uA    <     200.000uA     Site:1
310025     leak_hi_r_eve_c_eve_dft_scan_lpg2_pad_i                          -100.000uA    <     -0.0240uA    <     200.000uA     Site:1
310026     leak_hi_r_eve_c_eve_io_clk_pad_i                                 -100.000uA    <      0.0030uA    <     200.000uA     Site:1
310027     leak_hi_r_eve_c_eve_io_req_pad_data_27                           -100.000uA    <      0.0100uA    <     200.000uA     Site:1
310028     leak_hi_r_eve_c_eve_dft_1500_selectwr_pad_i                      -100.000uA    <     -0.0070uA    <     200.000uA     Site:1
310029     leak_hi_r_eve_c_eve_dft_pmbist_pmbist_mode_pad_i                 -100.000uA    <      0.0290uA    <     200.000uA     Site:1
310030     leak_hi_r_eve_c_eve_dft_scan_scan_in_pad_i_11                    -100.000uA    <      0.0050uA    <     200.000uA     Site:1
310031     leak_hi_r_eve_c_eve_io_req_pad_addr_21                           -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
310032     leak_hi_r_eve_c_eve_dft_scan_scan_in_pad_i_0                     -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
310033     leak_hi_r_eve_c_eve_dft_scan_ss1_pad_i                           -100.000uA    <      0.0070uA    <     200.000uA     Site:1
310034     leak_hi_r_eve_c_eve_io_ddr_enable_pad_i                          -100.000uA    <     -0.0200uA    <     200.000uA     Site:1
310035     leak_hi_r_eve_c_eve_dft_pmbist_pmda_tck_pad_i                    -100.000uA    <     -0.0080uA    <     200.000uA     Site:1
310036     leak_hi_r_eve_c_eve_global_chip_reset_pad_i                      -100.000uA    <      0.0050uA    <     200.000uA     Site:1
310037     leak_hi_r_eve_c_eve_io_req_pad_data_14                           -100.000uA    <      0.0030uA    <     200.000uA     Site:1
310038     leak_hi_r_eve_c_eve_dft_scan_scan_in_pad_i_4                     -100.000uA    <      0.0310uA    <     200.000uA     Site:1
310039     leak_hi_r_eve_c_eve_dft_scan_cmle_pad_i                          -100.000uA    <     -0.0020uA    <     200.000uA     Site:1
310040     leak_hi_r_eve_c_eve_reserved_in_pad_i_0                          -100.000uA    <      0.0140uA    <     200.000uA     Site:1
310041     leak_hi_r_eve_c_eve_dft_opcg_trigger_pad_i                       -100.000uA    <     -0.0260uA    <     200.000uA     Site:1
310042     leak_hi_r_eve_c_eve_io_req_pad_data_valid                        -100.000uA    <     -0.0120uA    <     200.000uA     Site:1
310043     leak_hi_r_eve_c_eve_pllset_pad_i_3                               -100.000uA    <      0.0130uA    <     200.000uA     Site:1
310044     leak_hi_r_eve_c_eve_drive_pad_i_0                                -100.000uA    <      0.0110uA    <     200.000uA     Site:1
311001     leak_hi_r_eve_c_odd_io_req_pad_data_25                           -100.000uA    <     -0.0200uA    <     200.000uA     Site:1
311002     leak_hi_r_eve_c_odd_io_req_pad_addr_valid                        -100.000uA    <      0.0040uA    <     200.000uA     Site:1
311003     leak_hi_r_eve_c_odd_io_req_pad_addr_18                           -100.000uA    <      0.0140uA    <     200.000uA     Site:1
311004     leak_hi_r_eve_c_odd_io_req_pad_data_12                           -100.000uA    <      0.0130uA    <     200.000uA     Site:1
311005     leak_hi_r_eve_c_odd_io_req_pad_addr_22                           -100.000uA    <      0.0090uA    <     200.000uA     Site:1
311006     leak_hi_r_eve_c_odd_io_req_pad_data_11                           -100.000uA    <      0.0190uA    <     200.000uA     Site:1
311007     leak_hi_r_eve_c_odd_io_req_pad_addr_1                            -100.000uA    <     -0.0080uA    <     200.000uA     Site:1
311008     leak_hi_r_eve_c_odd_io_req_pad_data_10                           -100.000uA    <     -0.0120uA    <     200.000uA     Site:1
311009     leak_hi_r_eve_c_odd_io_req_pad_data_21                           -100.000uA    <      0.0190uA    <     200.000uA     Site:1
311010     leak_hi_r_eve_c_odd_io_req_pad_data_19                           -100.000uA    <      0.0050uA    <     200.000uA     Site:1
311011     leak_hi_r_eve_c_odd_dft_1500_wrck_pad_i                          -100.000uA    <     -0.0120uA    <     200.000uA     Site:1
311012     leak_hi_r_eve_c_odd_io_req_pad_addr_25                           -100.000uA    <      0.0000uA    <     200.000uA     Site:1
311013     leak_hi_r_eve_c_odd_dft_pmbist_pmda_tdi_pad_i                    -100.000uA    <     -0.0150uA    <     200.000uA     Site:1
311014     leak_hi_r_eve_c_odd_dft_scan_scan_in_pad_i_7                     -100.000uA    <      0.0030uA    <     200.000uA     Site:1
311015     leak_hi_r_eve_c_odd_ref_clk_pad_i                                -100.000uA    <      0.0240uA    <     200.000uA     Site:1
311016     leak_hi_r_eve_c_odd_dft_scan_cme_pad_i                           -100.000uA    <      0.0040uA    <     200.000uA     Site:1
311017     leak_hi_r_eve_c_odd_dft_opcg_load_en_pad_i                       -100.000uA    <      0.0260uA    <     200.000uA     Site:1
311018     leak_hi_r_eve_c_odd_pll_reg_async_reset_n_pad_i                  -100.000uA    <     -0.0190uA    <     200.000uA     Site:1
311019     leak_hi_r_eve_c_odd_dft_scan_rst_n_pad_i                         -100.000uA    <     -0.0110uA    <     200.000uA     Site:1
311020     leak_hi_r_eve_c_odd_dft_scan_misr_select_pad_i                   -100.000uA    <      0.0010uA    <     200.000uA     Site:1
311021     leak_hi_r_eve_c_odd_io_rsp_pad_accept1                           -100.000uA    <     -0.0110uA    <     200.000uA     Site:1
312001     leak_hi_r_odd_c_eve_io_req_pad_addr_0                            -100.000uA    <      0.0080uA    <     200.000uA     Site:1
312002     leak_hi_r_odd_c_eve_io_req_pad_addr_19                           -100.000uA    <     -0.0240uA    <     200.000uA     Site:1
312003     leak_hi_r_odd_c_eve_io_req_pad_addr_13                           -100.000uA    <      0.0110uA    <     200.000uA     Site:1
312004     leak_hi_r_odd_c_eve_io_req_pad_data_29                           -100.000uA    <      0.0310uA    <     200.000uA     Site:1
312005     leak_hi_r_odd_c_eve_io_req_pad_data_0                            -100.000uA    <     -0.0100uA    <     200.000uA     Site:1
312006     leak_hi_r_odd_c_eve_io_req_pad_addr_11                           -100.000uA    <     -0.0050uA    <     200.000uA     Site:1
312007     leak_hi_r_odd_c_eve_io_req_pad_addr_6                            -100.000uA    <      0.0330uA    <     200.000uA     Site:1
312008     leak_hi_r_odd_c_eve_tap_tms_pad_i                                -100.000uA    <     -0.0070uA    <     200.000uA     Site:1
312009     leak_hi_r_odd_c_eve_io_req_pad_addr_26                           -100.000uA    <     -0.0100uA    <     200.000uA     Site:1
312010     leak_hi_r_odd_c_eve_dft_1500_ws_pad_i                            -100.000uA    <     -0.0080uA    <     200.000uA     Site:1
312011     leak_hi_r_odd_c_eve_io_req_pad_data_26                           -100.000uA    <      0.0070uA    <     200.000uA     Site:1
312012     leak_hi_r_odd_c_eve_io_req_pad_addr_23                           -100.000uA    <      0.0320uA    <     200.000uA     Site:1
312013     leak_hi_r_odd_c_eve_io_req_pad_addr_28                           -100.000uA    <      0.0100uA    <     200.000uA     Site:1
312014     leak_hi_r_odd_c_eve_dft_scan_scan_in_pad_i_9                     -100.000uA    <      0.0040uA    <     200.000uA     Site:1
312015     leak_hi_r_odd_c_eve_io_req_pad_data_31                           -100.000uA    <     -0.0040uA    <     200.000uA     Site:1
312016     leak_hi_r_odd_c_eve_dft_pmbist_pmda_rst_pad_i                    -100.000uA    <     -0.0310uA    <     200.000uA     Site:1
312017     leak_hi_r_odd_c_eve_dft_scan_scan_in_pad_i_8                     -100.000uA    <      0.0050uA    <     200.000uA     Site:1
312018     leak_hi_r_odd_c_eve_dft_scan_scan_in_pad_i_10                    -100.000uA    <     -0.0030uA    <     200.000uA     Site:1
312019     leak_hi_r_odd_c_eve_pll_async_reset_n_pad_i                      -100.000uA    <     -0.0180uA    <     200.000uA     Site:1
312020     leak_hi_r_odd_c_eve_io_req_pad_data_24                           -100.000uA    <      0.0010uA    <     200.000uA     Site:1
312021     leak_hi_r_odd_c_eve_machine_init_ctrl_pad_i_1                    -100.000uA    <      0.0360uA    <     200.000uA     Site:1
313001     leak_hi_r_odd_c_odd_io_req_pad_data_17                           -100.000uA    <      0.0220uA    <     200.000uA     Site:1
313002     leak_hi_r_odd_c_odd_io_req_pad_data_9                            -100.000uA    <      0.0430uA    <     200.000uA     Site:1
313003     leak_hi_r_odd_c_odd_io_req_pad_data_23                           -100.000uA    <     -0.0400uA    <     200.000uA     Site:1
313004     leak_hi_r_odd_c_odd_io_req_pad_addr_17                           -100.000uA    <      0.0500uA    <     200.000uA     Site:1
313005     leak_hi_r_odd_c_odd_io_req_pad_data_3                            -100.000uA    <     -0.0220uA    <     200.000uA     Site:1
313006     leak_hi_r_odd_c_odd_io_req_pad_data_16                           -100.000uA    <      0.0170uA    <     200.000uA     Site:1
313007     leak_hi_r_odd_c_odd_io_req_pad_addr_16                           -100.000uA    <     -0.0110uA    <     200.000uA     Site:1
313008     leak_hi_r_odd_c_odd_io_req_pad_data_7                            -100.000uA    <     -0.0060uA    <     200.000uA     Site:1
313009     leak_hi_r_odd_c_odd_io_req_pad_data_22                           -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
313010     leak_hi_r_odd_c_odd_io_req_pad_data_2                            -100.000uA    <     -0.0050uA    <     200.000uA     Site:1
313011     leak_hi_r_odd_c_odd_io_req_pad_addr_7                            -100.000uA    <     -0.0060uA    <     200.000uA     Site:1
313012     leak_hi_r_odd_c_odd_io_req_pad_data_15                           -100.000uA    <      0.0000uA    <     200.000uA     Site:1
313013     leak_hi_r_odd_c_odd_io_req_pad_data_6                            -100.000uA    <      0.0100uA    <     200.000uA     Site:1
313014     leak_hi_r_odd_c_odd_io_req_pad_addr_20                           -100.000uA    <     -0.0200uA    <     200.000uA     Site:1
313015     leak_hi_r_odd_c_odd_io_req_pad_addr_14                           -100.000uA    <     -0.0240uA    <     200.000uA     Site:1
313016     leak_hi_r_odd_c_odd_io_req_pad_addr_10                           -100.000uA    <      0.0110uA    <     200.000uA     Site:1
313017     leak_hi_r_odd_c_odd_io_req_pad_addr_3                            -100.000uA    <     -0.0190uA    <     200.000uA     Site:1
313018     leak_hi_r_odd_c_odd_io_req_pad_addr_27                           -100.000uA    <      0.0030uA    <     200.000uA     Site:1
313019     leak_hi_r_odd_c_odd_io_req_pad_data_5                            -100.000uA    <     -0.0110uA    <     200.000uA     Site:1
313020     leak_hi_r_odd_c_odd_dft_1500_updatewr_pad_i                      -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
313021     leak_hi_r_odd_c_odd_dft_scan_scan_en_pad_i                       -100.000uA    <      0.0140uA    <     200.000uA     Site:1
313022     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_6                     -100.000uA    <      0.0100uA    <     200.000uA     Site:1
313023     leak_hi_r_odd_c_odd_dft_scan_elastic_rst_pad_i                   -100.000uA    <      0.0150uA    <     200.000uA     Site:1
313024     leak_hi_r_odd_c_odd_dft_opcg_shift_clk_pad_i                     -100.000uA    <     -0.0130uA    <     200.000uA     Site:1
313025     leak_hi_r_odd_c_odd_io_req_pad_addr_29                           -100.000uA    <      0.0380uA    <     200.000uA     Site:1
313026     leak_hi_r_odd_c_odd_io_req_pad_data_28                           -100.000uA    <      0.0150uA    <     200.000uA     Site:1
313027     leak_hi_r_odd_c_odd_dft_1500_capturewr_pad_i                     -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
313028     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_15                    -100.000uA    <     -0.0110uA    <     200.000uA     Site:1
313029     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_5                     -100.000uA    <     -0.0070uA    <     200.000uA     Site:1
313030     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_3                     -100.000uA    <      0.0200uA    <     200.000uA     Site:1
313031     leak_hi_r_odd_c_odd_dft_scan_misr_rst_pad_i                      -100.000uA    <      0.0090uA    <     200.000uA     Site:1
313032     leak_hi_r_odd_c_odd_machine_init_ctrl_pad_i_0                    -100.000uA    <      0.0010uA    <     200.000uA     Site:1
313033     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_14                    -100.000uA    <      0.0230uA    <     200.000uA     Site:1
313034     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_13                    -100.000uA    <      0.0050uA    <     200.000uA     Site:1
313035     leak_hi_r_odd_c_odd_dft_scan_scan_in_pad_i_2                     -100.000uA    <      0.0160uA    <     200.000uA     Site:1
313036     leak_hi_r_odd_c_odd_rxtx_width_pad_i_1                           -100.000uA    <      0.0050uA    <     200.000uA     Site:1
313037     leak_hi_r_odd_c_odd_rxtx_width_pad_i_0                           -100.000uA    <     -0.0090uA    <     200.000uA     Site:1
313038     leak_hi_r_odd_c_odd_pllset_pad_i_0                               -100.000uA    <      0.0090uA    <     200.000uA     Site:1
313039     leak_hi_r_odd_c_odd_pllset_pad_i_2                               -100.000uA    <     -0.0100uA    <     200.000uA     Site:1
313040     leak_hi_r_odd_c_odd_pllset_pad_i_1                               -100.000uA    <      0.0190uA    <     200.000uA     Site:1
313041     leak_hi_r_odd_c_odd_dft_scan_lpg1_pad_i                          -100.000uA    <     -0.0050uA    <     200.000uA     Site:1
313042     leak_hi_r_odd_c_odd_pll_ref_select_pad_i                         -100.000uA    <     -0.0010uA    <     200.000uA     Site:1
313043     leak_hi_r_odd_c_odd_pll_config_select_pad_i                      -100.000uA    <     -0.0090uA    <     200.000uA     Site:1
313044     leak_hi_r_odd_c_odd_drive_pad_i_1                                -100.000uA    <      0.0080uA    <     200.000uA     Site:1
313045     leak_hi_r_odd_c_odd_dft_pmbist_ret_pause_continue_pad_i          -100.000uA    <      0.0020uA    <     200.000uA     Site:1
314001     leak_lo_r_eve_c_eve_io_req_pad_size_0                            -100.000uA    <     -0.0200uA    <     100.000uA     Site:1
314002     leak_lo_r_eve_c_eve_io_req_pad_data_30                           -100.000uA    <     -0.0380uA    <     100.000uA     Site:1
314003     leak_lo_r_eve_c_eve_io_req_pad_data_13                           -100.000uA    <     -0.0020uA    <     100.000uA     Site:1
314004     leak_lo_r_eve_c_eve_io_req_pad_addr_5                            -100.000uA    <     -0.0070uA    <     100.000uA     Site:1
314005     leak_lo_r_eve_c_eve_io_req_pad_size_1                            -100.000uA    <     -0.0340uA    <     100.000uA     Site:1
314006     leak_lo_r_eve_c_eve_io_req_pad_addr_9                            -100.000uA    <     -0.0200uA    <     100.000uA     Site:1
314007     leak_lo_r_eve_c_eve_io_req_pad_data_8                            -100.000uA    <     -0.0070uA    <     100.000uA     Site:1
314008     leak_lo_r_eve_c_eve_io_req_pad_data_4                            -100.000uA    <     -0.0070uA    <     100.000uA     Site:1
314009     leak_lo_r_eve_c_eve_io_req_pad_data_18                           -100.000uA    <     -0.0280uA    <     100.000uA     Site:1
314010     leak_lo_r_eve_c_eve_io_req_pad_addr_8                            -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
314011     leak_lo_r_eve_c_eve_io_req_pad_addr_4                            -100.000uA    <      0.0020uA    <     100.000uA     Site:1
314012     leak_lo_r_eve_c_eve_io_req_pad_data_1                            -100.000uA    <      0.0110uA    <     100.000uA     Site:1
314013     leak_lo_r_eve_c_eve_tap_tck_pad_i                                -100.000uA    <     -0.0160uA    <     100.000uA     Site:1
314014     leak_lo_r_eve_c_eve_tap_tdi_pad_i                                -100.000uA    <     -0.0190uA    <     100.000uA     Site:1
314015     leak_lo_r_eve_c_eve_io_req_pad_addr_2                            -100.000uA    <     -0.0090uA    <     100.000uA     Site:1
314016     leak_lo_r_eve_c_eve_io_req_pad_addr_15                           -100.000uA    <      0.0060uA    <     100.000uA     Site:1
314017     leak_lo_r_eve_c_eve_io_req_pad_data_20                           -100.000uA    <     -0.0220uA    <     100.000uA     Site:1
314018     leak_lo_r_eve_c_eve_tap_rstn_pad_i                               -100.000uA    <     -0.0220uA    <     100.000uA     Site:1
314019     leak_lo_r_eve_c_eve_io_req_pad_addr_24                           -100.000uA    <     -0.0060uA    <     100.000uA     Site:1
314020     leak_lo_r_eve_c_eve_dft_1500_shiftwr_pad_i                       -100.000uA    <     -0.0150uA    <     100.000uA     Site:1
314021     leak_lo_r_eve_c_eve_dft_1500_wrstn_pad_i                         -100.000uA    <     -0.0140uA    <     100.000uA     Site:1
314022     leak_lo_r_eve_c_eve_io_req_pad_addr_12                           -100.000uA    <     -0.0170uA    <     100.000uA     Site:1
314023     leak_lo_r_eve_c_eve_dft_scan_scan_in_pad_i_12                    -100.000uA    <     -0.0190uA    <     100.000uA     Site:1
314024     leak_lo_r_eve_c_eve_dft_scan_scan_in_pad_i_1                     -100.000uA    <      0.0090uA    <     100.000uA     Site:1
314025     leak_lo_r_eve_c_eve_dft_scan_lpg2_pad_i                          -100.000uA    <     -0.0270uA    <     100.000uA     Site:1
314026     leak_lo_r_eve_c_eve_io_clk_pad_i                                 -100.000uA    <      0.0010uA    <     100.000uA     Site:1
314027     leak_lo_r_eve_c_eve_io_req_pad_data_27                           -100.000uA    <      0.0070uA    <     100.000uA     Site:1
314028     leak_lo_r_eve_c_eve_dft_1500_selectwr_pad_i                      -100.000uA    <     -0.0050uA    <     100.000uA     Site:1
314029     leak_lo_r_eve_c_eve_dft_pmbist_pmbist_mode_pad_i                 -100.000uA    <      0.0010uA    <     100.000uA     Site:1
314030     leak_lo_r_eve_c_eve_dft_scan_scan_in_pad_i_11                    -100.000uA    <      0.0040uA    <     100.000uA     Site:1
314031     leak_lo_r_eve_c_eve_io_req_pad_addr_21                           -100.000uA    <     -0.0100uA    <     100.000uA     Site:1
314032     leak_lo_r_eve_c_eve_dft_scan_scan_in_pad_i_0                     -100.000uA    <     -0.0070uA    <     100.000uA     Site:1
314033     leak_lo_r_eve_c_eve_dft_scan_ss1_pad_i                           -100.000uA    <     -0.0250uA    <     100.000uA     Site:1
314034     leak_lo_r_eve_c_eve_io_ddr_enable_pad_i                          -100.000uA    <     -0.0230uA    <     100.000uA     Site:1
314035     leak_lo_r_eve_c_eve_dft_pmbist_pmda_tck_pad_i                    -100.000uA    <     -0.0160uA    <     100.000uA     Site:1
314036     leak_lo_r_eve_c_eve_global_chip_reset_pad_i                      -100.000uA    <      0.0080uA    <     100.000uA     Site:1
314037     leak_lo_r_eve_c_eve_io_req_pad_data_14                           -100.000uA    <     -0.0020uA    <     100.000uA     Site:1
314038     leak_lo_r_eve_c_eve_dft_scan_scan_in_pad_i_4                     -100.000uA    <      0.0260uA    <     100.000uA     Site:1
314039     leak_lo_r_eve_c_eve_dft_scan_cmle_pad_i                          -100.000uA    <     -0.0030uA    <     100.000uA     Site:1
314040     leak_lo_r_eve_c_eve_reserved_in_pad_i_0                          -100.000uA    <     -0.0110uA    <     100.000uA     Site:1
314041     leak_lo_r_eve_c_eve_dft_opcg_trigger_pad_i                       -100.000uA    <     -0.0280uA    <     100.000uA     Site:1
314042     leak_lo_r_eve_c_eve_io_req_pad_data_valid                        -100.000uA    <     -0.0150uA    <     100.000uA     Site:1
314043     leak_lo_r_eve_c_eve_pllset_pad_i_3                               -100.000uA    <      0.0140uA    <     100.000uA     Site:1
314044     leak_lo_r_eve_c_eve_drive_pad_i_0                                -100.000uA    <      0.0020uA    <     100.000uA     Site:1
315001     leak_lo_r_eve_c_odd_io_req_pad_data_25                           -100.000uA    <     -0.0240uA    <     100.000uA     Site:1
315002     leak_lo_r_eve_c_odd_io_req_pad_addr_valid                        -100.000uA    <      0.0040uA    <     100.000uA     Site:1
315003     leak_lo_r_eve_c_odd_io_req_pad_addr_18                           -100.000uA    <     -0.0010uA    <     100.000uA     Site:1
315004     leak_lo_r_eve_c_odd_io_req_pad_data_12                           -100.000uA    <     -0.0160uA    <     100.000uA     Site:1
315005     leak_lo_r_eve_c_odd_io_req_pad_addr_22                           -100.000uA    <      0.0050uA    <     100.000uA     Site:1
315006     leak_lo_r_eve_c_odd_io_req_pad_data_11                           -100.000uA    <      0.0090uA    <     100.000uA     Site:1
315007     leak_lo_r_eve_c_odd_io_req_pad_addr_1                            -100.000uA    <     -0.0190uA    <     100.000uA     Site:1
315008     leak_lo_r_eve_c_odd_io_req_pad_data_10                           -100.000uA    <     -0.0180uA    <     100.000uA     Site:1
315009     leak_lo_r_eve_c_odd_io_req_pad_data_21                           -100.000uA    <      0.0110uA    <     100.000uA     Site:1
315010     leak_lo_r_eve_c_odd_io_req_pad_data_19                           -100.000uA    <     -0.0080uA    <     100.000uA     Site:1
315011     leak_lo_r_eve_c_odd_dft_1500_wrck_pad_i                          -100.000uA    <     -0.0260uA    <     100.000uA     Site:1
315012     leak_lo_r_eve_c_odd_io_req_pad_addr_25                           -100.000uA    <      0.0000uA    <     100.000uA     Site:1
315013     leak_lo_r_eve_c_odd_dft_pmbist_pmda_tdi_pad_i                    -100.000uA    <     -0.0170uA    <     100.000uA     Site:1
315014     leak_lo_r_eve_c_odd_dft_scan_scan_in_pad_i_7                     -100.000uA    <     -0.0250uA    <     100.000uA     Site:1
315015     leak_lo_r_eve_c_odd_ref_clk_pad_i                                -100.000uA    <      0.0270uA    <     100.000uA     Site:1
315016     leak_lo_r_eve_c_odd_dft_scan_cme_pad_i                           -100.000uA    <     -0.0050uA    <     100.000uA     Site:1
315017     leak_lo_r_eve_c_odd_dft_opcg_load_en_pad_i                       -100.000uA    <      0.0050uA    <     100.000uA     Site:1
